Date,operating_hours,idle_hours,total_fuel,gal_hour,Shovel
2024-04-25,8.7,1.0,88.9,9.0,KOM 390-9
2024-04-25,,,,,KOM 390-4
2024-04-26,8.5,0.9,86.4,9.1,KOM 390-9
2024-04-26,9.0,0.3,88.7,9.4,KOM 390-4
2024-04-27,8.4,0.8,79.8,8.6,KOM 390-4
2024-04-27,6.2,1.3,63.2,8.3,KOM 390-9
2024-04-28,8.6,0.9,84.0,8.7,KOM 390-4
2024-04-28,8.5,1.1,88.2,9.1,KOM 390-9
2024-04-29,4.3,0.8,40.2,7.8,KOM 390-4
2024-04-29,6.0,1.3,60.2,8.2,KOM 390-9
2024-04-30,5.9,0.3,58.1,9.2,KOM 390-4
2024-04-30,8.5,0.7,86.5,9.3,KOM 390-9
2024-05-01,7.7,0.6,75.4,9.0,KOM 390-4
2024-05-01,8.5,0.9,85.3,9.0,KOM 390-9
2024-05-02,4.7,0.9,46.9,8.1,KOM 390-9
2024-05-02,5.1,0.5,50.2,8.8,KOM 390-4
2024-05-03,9.0,0.4,88.1,9.4,KOM 390-4
2024-05-03,0.8,0.0,8.7,9.3,KOM 390-9
2024-05-04,5.1,0.4,47.7,8.6,KOM 390-4
2024-05-04,0.0,0.0,0.0,,KOM 390-9
2024-05-05,0.0,0.0,0.0,,KOM 390-9
2024-05-05,8.4,0.5,84.6,9.4,KOM 390-4
2024-05-06,8.7,0.7,86.4,9.1,KOM 390-4
2024-05-06,0.0,0.0,0.0,,KOM 390-9
2024-05-07,8.8,0.6,86.7,9.1,KOM 390-4
2024-05-07,0.0,0.0,0.0,,KOM 390-9
2024-05-08,7.8,0.7,75.7,8.8,KOM 390-4
2024-05-08,0.1,0.1,0.8,3.2,KOM 390-9
2024-05-09,0.0,0.0,0.0,0.0,KOM 390-9
2024-05-09,5.1,1.6,48.0,7.1,KOM 390-4
2024-05-10,7.6,2.1,80.0,8.2,KOM 390-10
2024-05-10,0.0,0.0,0.0,,KOM 390-9
2024-05-10,7.8,1.2,75.2,8.2,KOM 390-4
2024-05-11,7.8,1.7,84.5,8.8,KOM 390-10
2024-05-11,0.0,0.0,0.0,,KOM 390-9
2024-05-11,9.4,1.4,88.1,8.1,KOM 390-4
2024-05-12,0.0,0.0,0.0,,KOM 390-9
2024-05-12,2.1,1.3,20.5,5.8,KOM 390-4
2024-05-12,2.2,1.2,22.8,6.5,KOM 390-10
2024-05-13,0.0,0.0,0.0,,KOM 390-9
2024-05-13,9.2,0.6,100.7,10.1,KOM 390-10
2024-05-13,8.6,0.9,83.0,8.7,KOM 390-4
2024-05-14,0.0,0.0,0.0,,KOM 390-9
2024-05-14,8.4,1.0,81.4,8.6,KOM 390-4
2024-05-14,8.8,0.7,95.0,9.9,KOM 390-10
2024-05-15,9.1,0.4,89.1,9.3,KOM 390-4
2024-05-15,0.0,0.0,0.0,,KOM 390-9
2024-05-15,8.4,0.9,87.0,9.2,KOM 390-10
2024-05-16,0.0,0.0,0.0,,KOM 390-9
2024-05-16,4.9,0.8,43.7,7.6,KOM 390-4
2024-05-16,9.2,0.7,99.7,10.0,KOM 390-10
2024-05-17,0.0,0.0,0.0,,KOM 390-4
2024-05-17,9.1,0.5,99.1,10.2,KOM 390-10
2024-05-17,0.0,0.0,0.0,,KOM 390-9
2024-05-18,8.8,0.6,95.9,10.0,KOM 390-10
2024-05-18,0.0,0.0,0.0,,KOM 390-9
2024-05-18,1.6,0.3,14.3,7.1,KOM 390-4
2024-05-19,8.9,0.6,99.7,10.3,KOM 390-10
2024-05-19,5.5,0.7,45.5,7.2,KOM 390-9
2024-05-19,,,,,KOM 390-4
2024-05-20,7.7,0.6,85.4,10.1,KOM 390-10
2024-05-20,0.0,0.0,0.0,,KOM 390-4
2024-05-20,0.0,0.0,0.0,,KOM 390-9
2024-05-21,6.5,0.4,71.9,10.2,KOM 390-10
2024-05-21,0.0,0.0,0.0,,KOM 390-4
2024-05-21,0.2,0.1,2.5,5.6,KOM 390-9
2024-05-22,0.0,0.0,0.0,,KOM 390-9
2024-05-22,7.3,0.3,79.3,10.3,KOM 390-10
2024-05-22,0.0,0.0,0.0,,KOM 390-4
2024-05-23,7.0,0.8,74.7,9.5,KOM 390-10
2024-05-23,0.0,0.0,0.0,,KOM 390-4
2024-05-23,4.2,0.2,34.3,7.7,KOM 390-9
2024-05-24,8.6,0.5,93.3,10.1,KOM 390-10
2024-05-24,0.1,0.0,1.1,5.8,KOM 390-4
2024-05-24,0.3,0.0,2.3,6.4,KOM 390-9
2024-05-25,0.0,0.0,0.0,,KOM 390-4
2024-05-25,4.1,0.2,36.1,8.1,KOM 390-9
2024-05-25,8.5,0.7,92.7,10.0,KOM 390-10
2024-05-26,0.0,0.0,0.0,,KOM 390-4
2024-05-26,8.5,0.5,91.6,10.0,KOM 390-10
2024-05-26,0.4,0.9,2.6,1.9,KOM 390-9
2024-05-27,0.0,0.1,0.1,0.8,KOM 390-4
2024-05-27,3.9,0.6,35.1,7.6,KOM 390-9
2024-05-27,8.7,0.5,86.4,9.3,KOM 390-10
2024-05-28,0.0,0.0,0.0,,KOM 390-4
2024-05-28,0.0,0.0,0.0,,KOM 390-9
2024-05-28,8.9,0.8,88.5,9.0,KOM 390-10
2024-05-29,7.7,0.5,81.4,9.8,KOM 390-10
2024-05-29,0.0,0.0,0.0,,KOM 390-9
2024-05-29,0.0,0.0,0.0,,KOM 390-4
2024-05-30,0.0,0.0,0.0,,KOM 390-4
2024-05-30,9.0,1.2,95.2,9.2,KOM 390-10
2024-05-30,0.0,0.0,0.0,,KOM 390-9
2024-05-31,0.0,0.0,0.0,,KOM 390-9
2024-05-31,0.0,0.0,0.0,,KOM 390-4
2024-05-31,7.9,0.7,83.1,9.6,KOM 390-10
2024-06-01,3.2,0.3,22.6,6.2,KOM 390-4
2024-06-01,0.0,0.0,0.0,,KOM 390-9
2024-06-01,8.5,0.9,89.0,9.4,KOM 390-10
2024-06-02,2.7,1.2,24.6,6.1,KOM 390-4
2024-06-02,0.0,0.0,0.0,,KOM 390-9
2024-06-02,8.4,1.2,87.3,9.0,KOM 390-10
2024-06-03,8.3,0.8,88.5,9.7,KOM 390-10
2024-06-03,0.0,0.0,0.0,0.0,KOM 390-9
2024-06-03,5.8,1.1,50.1,7.1,KOM 390-4
2024-06-04,8.6,0.7,90.7,9.7,KOM 390-10
2024-06-04,4.7,1.2,38.7,6.4,KOM 390-4
2024-06-04,0.0,0.0,0.0,,KOM 390-9
