,Date,machine_hours,idle_percentage,operating_percentage,total_fuel,gal_hour,Shovel
1252,2024-07-30,9.412,8.0,92.0,100.2498,10.6513,CAT 349-6
1253,2024-07-29,9.302,6.0,94.0,99.2499,10.6697,CAT 349-6
1254,2024-07-28,9.497,7.0,93.0,105.2498,11.0824,CAT 349-6
1255,2024-07-27,9.341,9.0,91.0,101.4999,10.8661,CAT 349-6
1256,2024-07-26,9.001,12.0,88.0,96.6249,10.7349,CAT 349-6
1257,2024-07-25,9.752,9.0,91.0,107.7499,11.049,CAT 349-6
1258,2024-07-24,8.888,13.0,87.0,93.1249,10.4776,CAT 349-6
1259,2024-07-23,7.987,7.0,93.0,87.9999,11.0179,CAT 349-6
1260,2024-07-22,2.212,41.0,59.0,17.2499,7.7983,CAT 349-6
1261,2024-07-21,8.614,15.0,85.0,88.7499,10.303,CAT 349-6
1262,2024-07-20,9.379,14.0,86.0,97.8749,10.4355,CAT 349-6
1263,2024-07-19,9.338,9.0,91.0,100.9998,10.816,CAT 349-6
1264,2024-07-18,9.131,18.0,82.0,93.7499,10.2672,CAT 349-6
1265,2024-07-17,9.643,12.0,88.0,101.3749,10.5128,CAT 349-6
1266,2024-07-16,9.456,10.0,90.0,102.2499,10.8132,CAT 349-6
1267,2024-07-15,9.258,12.0,88.0,99.9999,10.8015,CAT 349-6
1268,2024-07-14,9.327,9.0,91.0,103.6249,11.1102,CAT 349-6
1269,2024-07-13,9.319,8.0,92.0,104.6251,11.2271,CAT 349-6
1270,2024-07-12,9.338,12.0,88.0,103.375,11.0704,CAT 349-6
1271,2024-07-11,8.786,11.0,89.0,97.4998,11.0972,CAT 349-6
1272,2024-07-10,8.089,11.0,89.0,86.5,10.6935,CAT 349-6
1273,2024-07-09,5.118,11.0,89.0,55.875,10.9174,CAT 349-6
1274,2024-07-08,9.233,8.0,92.0,102.625,11.115,CAT 349-6
1275,2024-07-07,8.448,12.0,88.0,89.0001,10.535,CAT 349-6
1276,2024-07-06,9.16,10.0,90.0,98.1248,10.7123,CAT 349-6
1277,2024-07-05,5.886,24.0,76.0,55.3749,9.4079,CAT 349-6
1278,2024-07-04,7.537,13.0,87.0,78.9998,10.4816,CAT 349-6
1279,2024-07-03,9.193,10.0,90.0,96.1248,10.4563,CAT 349-6
1280,2024-07-02,6.304,22.0,78.0,60.6251,9.6169,CAT 349-6
1281,2024-07-01,9.186,15.0,85.0,93.8748,10.2193,CAT 349-6
1282,2024-06-30,9.258,11.0,89.0,98.375,10.6259,CAT 349-6
1283,2024-06-29,9.463,11.0,89.0,100.8749,10.6599,CAT 349-6
1284,2024-06-28,4.577,16.0,84.0,46.0,10.0503,CAT 349-6
1285,2024-06-27,9.221,10.0,90.0,98.7499,10.7092,CAT 349-6
1286,2024-06-26,8.971,9.0,91.0,99.3749,11.0773,CAT 349-6
1287,2024-06-25,9.768,11.0,89.0,108.4999,11.1077,CAT 349-6
1288,2024-06-24,9.336,11.0,89.0,102.8749,11.0192,CAT 349-6
1289,2024-06-23,9.554,13.0,87.0,102.3748,10.7154,CAT 349-6
1290,2024-06-22,9.367,14.0,86.0,100.9998,10.7825,CAT 349-6
1291,2024-06-21,9.474,8.0,92.0,105.7499,11.1621,CAT 349-6
1292,2024-06-20,9.053,9.0,91.0,99.75,11.0185,CAT 349-6
1293,2024-06-19,9.246,24.0,76.0,87.875,9.5041,CAT 349-6
1294,2024-06-18,0.323,62.0,38.0,0.9999,3.0956,CAT 349-6
1295,2024-06-17,0.037,0.0,100.0,0.5001,13.5156,CAT 349-6
1296,2024-06-16,7.978,15.0,85.0,84.25,10.5603,CAT 349-6
1297,2024-06-15,9.231,14.0,86.0,97.75,10.5893,CAT 349-6
1298,2024-06-14,8.177,20.0,80.0,82.6251,10.1046,CAT 349-6
1299,2024-06-13,9.313,13.0,87.0,99.875,10.7242,CAT 349-6
1300,2024-06-12,8.876,14.0,86.0,94.125,10.6044,CAT 349-6
1301,2024-06-11,9.237,16.0,84.0,92.2499,9.987,CAT 349-6
1302,2024-06-10,8.474,12.0,88.0,91.6249,10.8125,CAT 349-6
1303,2024-06-09,7.074,11.0,89.0,74.6249,10.5492,CAT 349-6
1304,2024-06-08,10.251,14.0,86.0,99.75,9.7307,CAT 349-6
1305,2024-06-07,9.358,5.0,95.0,105.2498,11.247,CAT 349-6
1306,2024-06-06,9.228,13.0,87.0,96.875,10.498,CAT 349-6
1307,2024-06-05,8.834,12.0,88.0,94.875,10.7398,CAT 349-6
1308,2024-06-04,9.271,10.0,90.0,98.5,10.6245,CAT 349-6
1309,2024-06-03,8.945,15.0,85.0,90.3748,10.1034,CAT 349-6
1310,2024-06-02,9.055,16.0,84.0,94.25,10.4086,CAT 349-6
1311,2024-06-01,9.559,13.0,87.0,102.0,10.6706,CAT 349-6
1312,2024-05-31,8.691,10.0,90.0,94.3749,10.8589,CAT 349-6
1313,2024-05-30,8.974,11.0,89.0,96.25,10.7254,CAT 349-6
1314,2024-05-29,7.925,18.0,82.0,79.4999,10.0315,CAT 349-6
1315,2024-05-28,9.699,12.0,88.0,102.2499,10.5423,CAT 349-6
1316,2024-05-27,8.896,9.0,91.0,96.7498,10.8756,CAT 349-6
1317,2024-05-26,8.815,8.0,92.0,96.6249,10.9614,CAT 349-6
1318,2024-05-25,8.94,11.0,89.0,97.1249,10.8641,CAT 349-6
1319,2024-05-24,9.265,7.0,93.0,104.2499,11.252,CAT 349-6
1320,2024-05-23,9.026,10.0,90.0,97.5001,10.8021,CAT 349-6
1321,2024-05-22,7.122,16.0,84.0,75.875,10.6536,CAT 349-6
1322,2024-05-21,9.178,9.0,91.0,102.1249,11.1271,CAT 349-6
1323,2024-05-20,9.027,7.0,93.0,103.1248,11.424,CAT 349-6
1324,2024-05-19,7.382,16.0,84.0,75.75,10.2614,CAT 349-6
1325,2024-05-18,8.794,11.0,89.0,97.1249,11.0445,CAT 349-6
1326,2024-05-17,9.091,6.0,94.0,105.5,11.6049,CAT 349-6
1327,2024-05-16,4.342,25.0,75.0,40.4999,9.3275,CAT 349-6
1328,2024-05-15,0.306,82.0,18.0,1.2501,4.0852,CAT 349-6
1329,2024-05-14,10.018,12.0,88.0,103.7499,10.3563,CAT 349-6
1330,2024-05-13,8.635,10.0,90.0,96.375,11.161,CAT 349-6
1331,2024-05-12,4.815,15.0,85.0,48.0001,9.9688,CAT 349-6
1332,2024-05-11,9.489,8.0,92.0,99.6251,10.499,CAT 349-6
1333,2024-05-10,9.026,10.0,90.0,94.3749,10.4559,CAT 349-6
1334,2024-05-09,7.892,14.0,86.0,79.6249,10.0893,CAT 349-6
1335,2024-05-08,13.133,8.0,92.0,138.4998,10.5459,CAT 349-6
1336,2024-05-07,9.281,6.0,94.0,103.6249,11.1653,CAT 349-6
1337,2024-05-06,9.614,7.0,93.0,108.7498,11.3116,CAT 349-6
1338,2024-05-05,9.103,7.0,93.0,99.125,10.8893,CAT 349-6
1339,2024-05-04,3.63,8.0,92.0,39.75,10.9504,CAT 349-6
1340,2024-05-03,9.348,10.0,90.0,101.4999,10.8579,CAT 349-6
1341,2024-05-02,5.863,6.0,94.0,66.7499,11.3849,CAT 349-6
1342,2024-05-01,9.431,8.0,92.0,105.8749,11.2263,CAT 349-6
1343,2024-04-30,9.54,10.0,90.0,105.6249,11.0718,CAT 349-6
1344,2024-04-29,6.081,15.0,85.0,64.8748,10.6685,CAT 349-6
1345,2024-04-28,9.46,8.0,92.0,105.7499,11.1786,CAT 349-6
1346,2024-04-27,8.368,19.0,81.0,85.9999,10.2772,CAT 349-6
1347,2024-04-26,7.666,,,,,CAT 349-6
1348,2024-04-25,0.0,,,,,CAT 349-6
1349,2024-04-24,0.0,,,,,CAT 349-6
1350,2024-04-23,0.138,,,,,CAT 349-6
